team_id,t_original,club_id,club_name,final_name,final_team_name,final_club_name
1523fa69-645c-4ccc-aa5d-308f69bd57de,KORONA ZAKRZEWO,55b553a8-6f46-4e77-afdc-7f2776296f61,SKS KORONA ZAKRZEWO,Korona Zakrzewo,Korona Zakrzewo,Korona Zakrzewo
7cdfa395-852a-40b3-a013-c9888e6d20a1,KORONA ZAKRZEWO,55b553a8-6f46-4e77-afdc-7f2776296f61,SKS KORONA ZAKRZEWO,Korona Zakrzewo,Korona Zakrzewo,Korona Zakrzewo
2a125b10-ba39-4fac-a11c-0670809b74ac,KORONA ZAKRZEWO,55b553a8-6f46-4e77-afdc-7f2776296f61,SKS KORONA ZAKRZEWO,Korona Zakrzewo,Korona Zakrzewo,Korona Zakrzewo
411ba143-1d00-4361-ba6c-bb51269fae54,KS CARBO GLIWICE,55a7ebba-b74d-440e-a971-9f99968cf16d,"KLUB SPORTOWY ""CARBO-GLIWICE"" W GLIWICACH",Carbo Gliwice,Carbo Gliwice,Carbo Gliwice
9b0f4fab-7603-48d3-b2b9-91e01ce5557a,KS CARBO GLIWICE,55a7ebba-b74d-440e-a971-9f99968cf16d,"KLUB SPORTOWY ""CARBO-GLIWICE"" W GLIWICACH",Carbo Gliwice,Carbo Gliwice,Carbo Gliwice
4ef67776-7d8e-4acb-9761-5717bc1e98ca,KS CARBO GLIWICE,55a7ebba-b74d-440e-a971-9f99968cf16d,"KLUB SPORTOWY ""CARBO-GLIWICE"" W GLIWICACH",Carbo Gliwice,Carbo Gliwice,Carbo Gliwice
cf671332-e58a-4d74-ac43-4b78f80101d5,PROMAR IT CARBO GLIWICE,55a7ebba-b74d-440e-a971-9f99968cf16d,"KLUB SPORTOWY ""CARBO-GLIWICE"" W GLIWICACH",Carbo Gliwice,Carbo Gliwice,Carbo Gliwice
3fa92db6-1074-43db-9bef-6a06086d1174,Iskra Głogoczów,5598fc1a-895f-4bb7-8c39-8c59bf7f5095,KLUB SPORTOWY ISKRA GŁOGOCZÓW,Iskra Głogoczów,Iskra Głogoczów,Iskra Głogoczów
6006ad0e-17a6-45ab-aa6b-793cd01be2a1,Iskra Głogoczów,5598fc1a-895f-4bb7-8c39-8c59bf7f5095,KLUB SPORTOWY ISKRA GŁOGOCZÓW,Iskra Głogoczów,Iskra Głogoczów,Iskra Głogoczów
b2e56362-c4a1-41f3-938c-7d346a600a8f,FUNDACJA-PROAKTYWACJA CZĘSTOCHOWA,5594f681-5b68-49d9-8595-4e353660c66d,FUNDACJA-PROAKTYWACJA!,Fundacja Proaktywacja Częstochowa,FUNDACJA-PROAKTYWACJA!,FUNDACJA-PROAKTYWACJA!
e6e133d6-d62a-40a8-a4c2-d92a9c06aadd,Łęg Kopcie,558cdc2d-4a7e-4dbe-8286-19bb24350ac0,Łęg Kopcie,Łęg Kopcie,Łęg Kopcie,Łęg Kopcie
89d5aa21-cffa-45d1-ac4f-6d0bfc0819bd,TKKF Stal Jezierzyce,557dff37-d1d1-4702-8a41-1a42ff56072f,Stal Jezierzyce TKKF,Stal Jezierzyce,Stal Jezierzyce,Stal Jezierzyce
4184ddac-c690-488e-9eb6-fa2c49c42460,TKKF Stal Jezierzyce,557dff37-d1d1-4702-8a41-1a42ff56072f,Stal Jezierzyce TKKF,Stal Jezierzyce,Stal Jezierzyce,Stal Jezierzyce
e4de7e98-b7e0-49a1-8122-5ec94f033d08,Stal Jezierzyce,557dff37-d1d1-4702-8a41-1a42ff56072f,Stal Jezierzyce TKKF,Stal Jezierzyce,Stal Jezierzyce,Stal Jezierzyce
a7a9b3c4-6cda-4323-87be-6f978869ef98,Stal Jezierzyce,557dff37-d1d1-4702-8a41-1a42ff56072f,Stal Jezierzyce TKKF,Stal Jezierzyce,Stal Jezierzyce,Stal Jezierzyce
cc15f954-a9b1-4283-9fe9-acc02521c165,TKKF Stal Jezierzyce,557dff37-d1d1-4702-8a41-1a42ff56072f,Stal Jezierzyce TKKF,Stal Jezierzyce,Stal Jezierzyce,Stal Jezierzyce
7a3ac870-28b7-47b4-8cf8-13fdafed4e55,CHEMIK Police,5560b9b4-2465-4643-88c4-4af5733a45c3,Klub Piłkarski Chemik Police,Chemik Police,Chemik Police,Chemik Police
af938ad7-0511-448b-80df-370922db6dd7,CHEMIK Police,5560b9b4-2465-4643-88c4-4af5733a45c3,Klub Piłkarski Chemik Police,Chemik Police,Chemik Police,Chemik Police
83baa5ae-2db5-4047-90c9-967859702690,CHEMIK Police,5560b9b4-2465-4643-88c4-4af5733a45c3,Klub Piłkarski Chemik Police,Chemik Police,Chemik Police,Chemik Police
26c89544-38de-4a51-ab77-7e986b0e392a,CHEMIK Police,5560b9b4-2465-4643-88c4-4af5733a45c3,Klub Piłkarski Chemik Police,Chemik Police,Chemik Police,Chemik Police
314200aa-c125-49f7-92ca-3f74f6fa6623,CHEMIK Police,5560b9b4-2465-4643-88c4-4af5733a45c3,Klub Piłkarski Chemik Police,Chemik Police,Chemik Police,Chemik Police
9ceadd96-4712-4c48-a0b1-7c0f11580756,CHEMIK Police,5560b9b4-2465-4643-88c4-4af5733a45c3,Klub Piłkarski Chemik Police,Chemik Police,Chemik Police,Chemik Police
904eefc0-d61a-4538-93b4-ba54a71d4066,CHEMIK Police,5560b9b4-2465-4643-88c4-4af5733a45c3,Klub Piłkarski Chemik Police,Chemik Police,Chemik Police,Chemik Police
